name,n,nnz,aver_nnz,var_nnz,ell_ratio, median,mode_element,SD_nnz,TB_size,maxregcount,mem_setting,format,energy,performance,av_pow,perf_per_watt,,mem_setting,0=Equal,1=L1,2=None,3=Shared
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,40,2,0,0.014970739,509.5924,29.36821186,226341660.6,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,48,2,0,0.015070621,511.2348,29.4410615,225056246.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,56,2,0,0.014971599,507.3212,29.46235316,226628488.7,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,64,2,0,0.014995931,510.1944,29.34881833,226223979.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,72,2,0,0.015086434,513.6188,29.33613403,224812860.6,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,128,2,0,0.014901745,504.9188,29.47457846,227612338.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,255,2,0,0.014798055,501.1646,29.47170938,229339695.7,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,16,2,0,0.017773379,604.9318,29.36298452,190703354.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,24,2,0,0.016567366,563.63,29.33958536,204840992.7,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,32,2,0,0.015772143,541.6778,29.1834863,214282515.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,40,2,0,0.016044338,543.3762,29.44239352,211734300.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,48,2,0,0.016047304,544.9388,29.39698994,211453242.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,56,2,0,0.015749217,539.5576,29.18705623,215098229.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,64,2,0,0.01602105,544.0862,29.41065786,211686174.6,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,72,2,0,0.015804602,545.5108,28.94350125,214541111.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,128,2,0,0.015906992,537.8736,29.44919314,213851014.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,255,2,0,0.01588623,537.7796,29.50310934,213497518.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,16,2,0,0.019732301,669.074,29.44570982,171936769.7,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,24,2,0,0.018147215,622.3002,29.13836106,186809898.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,32,2,0,0.017495078,591.4232,29.52052333,194018228.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,40,2,0,0.017484508,591.0084,29.4889135,194362519.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,48,2,0,0.017350041,590.9892,29.28968568,195690926.3,,,,,,
